index,n_nerghbors,weight,p,leaf_size,cross_acc,test_acc
1,3,uniform,1,10,0.5100990954187681,0.5753246753246753
2,3,uniform,2,10,0.510146017483951,0.5714285714285714
3,3,distance,1,10,0.5396973559297183,0.5974025974025974
4,3,distance,2,10,0.5401560783629631,0.5935064935064935
5,3,uniform,1,12,0.5100990954187681,0.5753246753246753
6,3,uniform,2,12,0.510146017483951,0.5714285714285714
7,3,distance,1,12,0.5396973559297183,0.5974025974025974
8,3,distance,2,12,0.5401560783629631,0.5935064935064935
9,3,uniform,1,14,0.5100990954187681,0.5753246753246753
10,3,uniform,2,14,0.510146017483951,0.5714285714285714
11,3,distance,1,14,0.5396973559297183,0.5974025974025974
12,3,distance,2,14,0.5401560783629631,0.5935064935064935
13,3,uniform,1,16,0.5028190278889519,0.574025974025974
14,3,uniform,2,16,0.5024227973636568,0.5701298701298702
15,3,distance,1,16,0.5297828055926163,0.5974025974025974
16,3,distance,2,16,0.5298029315346329,0.5909090909090909
17,3,uniform,1,18,0.5028190278889519,0.574025974025974
18,3,uniform,2,18,0.5024227973636568,0.5701298701298702
19,3,distance,1,18,0.5297828055926163,0.5974025974025974
20,3,distance,2,18,0.5298029315346329,0.5909090909090909
21,3,uniform,1,20,0.5028190278889519,0.574025974025974
22,3,uniform,2,20,0.5024227973636568,0.5701298701298702
23,3,distance,1,20,0.5297828055926163,0.5974025974025974
24,3,distance,2,20,0.5298029315346329,0.5909090909090909
25,3,uniform,1,22,0.5028190278889519,0.574025974025974
26,3,uniform,2,22,0.5024227973636568,0.5701298701298702
27,3,distance,1,22,0.5297828055926163,0.5974025974025974
28,3,distance,2,22,0.5298029315346329,0.5909090909090909
29,3,uniform,1,24,0.5028190278889519,0.574025974025974
30,3,uniform,2,24,0.5024227973636568,0.5701298701298702
31,3,distance,1,24,0.5297828055926163,0.5974025974025974
32,3,distance,2,24,0.5298029315346329,0.5909090909090909
33,3,uniform,1,26,0.5028190278889519,0.574025974025974
34,3,uniform,2,26,0.5024227973636568,0.5701298701298702
35,3,distance,1,26,0.5297828055926163,0.5974025974025974
36,3,distance,2,26,0.5298029315346329,0.5909090909090909
37,3,uniform,1,28,0.5028190278889519,0.574025974025974
38,3,uniform,2,28,0.5024227973636568,0.5701298701298702
39,3,distance,1,28,0.5297828055926163,0.5974025974025974
40,3,distance,2,28,0.5298029315346329,0.5909090909090909
41,3,uniform,1,30,0.4959599416236382,0.5571428571428572
42,3,uniform,2,30,0.49599859170602684,0.5545454545454546
43,3,distance,1,30,0.5259401366833109,0.5727272727272728
44,3,distance,2,30,0.5255367741342989,0.5662337662337662
45,3,uniform,1,32,0.4959599416236382,0.5571428571428572
46,3,uniform,2,32,0.49599859170602684,0.5545454545454546
47,3,distance,1,32,0.5259401366833109,0.5727272727272728
48,3,distance,2,32,0.5255367741342989,0.5662337662337662
