index,train_avg_acc,test_acc
44,0.69099538,0.703896104
26,0.690237345,0.705194805
20,0.690223156,0.703896104
40,0.690208647,0.705194805
21,0.690144388,0.706493506
45,0.690098227,0.702597403
2,0.689819497,0.703896104
33,0.689724209,0.709090909
4,0.689358929,0.706493506
25,0.6887865,0.709090909
15,0.688424695,0.705194805
19,0.687998303,0.703896104
9,0.687547174,0.706493506
22,0.687504426,0.705194805
1,0.687138984,0.706493506
14,0.686764268,0.706493506
46,0.686681074,0.701298701
34,0.686350487,0.711688312
17,0.686298927,0.694805195
31,0.686284677,0.706493506
27,0.686254299,0.706493506
39,0.685999964,0.705194805
41,0.685832578,0.706493506
37,0.685397564,0.701298701
11,0.685356172,0.706493506
7,0.685326634,0.71038961
3,0.685301592,0.707792208
8,0.685103878,0.707792208
28,0.684953184,0.707792208
38,0.684571387,0.706493506
43,0.684558153,0.703896104
42,0.684068074,0.687012987
10,0.683246217,0.703896104
32,0.683215018,0.705194805
6,0.683189146,0.687012987
18,0.682838701,0.692207792
12,0.682416514,0.690909091
16,0.682387169,0.706493506
23,0.681876148,0.703896104
13,0.681830709,0.709090909
47,0.681469532,0.703896104
36,0.681078125,0.688311688
48,0.680187595,0.690909091
35,0.68015569,0.703896104
5,0.678390132,0.707792208
29,0.678140692,0.7
30,0.676649904,0.690909091
24,0.673996131,0.685714286
